RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?æ,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region),Watched Star Wars Flim,Ranking The Flims (1-6),Chararcter Favourabilty
No Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['Han Solo', 'Luke Skywalker', 'Princess Leia Organa', 'Anakin Skywalker', 'Obi Wan Kenobi', 'Emperor Palpatine', 'Darth Vader', 'Lando Calrissian', 'Boba Fett', 'C-3P0', 'R2 D2', 'Jar Jar Binks', 'Padme Amidala', 'Yoda']"
3292879998.0,Yes,1,I don't understand this question,1,0,0,Male,18-29,No Response,High school degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['3', '2', '1', '4', '5', '6']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably']"
3292879538.0,No,No Response,No Response,No Response,No Response,1,Male,18-29,"$0 - $24,999",Bachelor degree,West South Central,"[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
3292765271.0,Yes,0,I don't understand this question,0,No Response,0,Male,18-29,"$0 - $24,999",High school degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', nan, nan, nan]","['1', '2', '3', '4', '5', '6']","['Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)', 'Unfamiliar (N/A)']"
3292763116.0,Yes,1,I don't understand this question,0,No Response,1,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['5', '6', '1', '2', '4', '3']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably']"
3292731220.0,Yes,1,Greedo,1,0,0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['5', '4', '6', '2', '1', '3']","['Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat unfavorably', 'Very favorably', 'Very unfavorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very unfavorably', 'Somewhat favorably', 'Somewhat favorably']"
3292719380.0,Yes,1,Han,1,0,1,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['1', '4', '3', '6', '5', '2']","['Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably']"
3292684787.0,Yes,1,Han,1,0,0,Male,18-29,No Response,High school degree,East North Central,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['6', '5', '4', '3', '1', '2']","['Very favorably', 'Very favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Somewhat favorably', 'Very favorably', 'Somewhat unfavorably', 'Somewhat favorably', 'Very favorably']"
3292663732.0,Yes,1,Han,0,No Response,1,Male,18-29,No Response,High school degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['4', '5', '6', '3', '2', '1']","['Very favorably', 'Somewhat favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Very favorably', 'Very unfavorably', 'Somewhat unfavorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very unfavorably', 'Somewhat unfavorably', 'Very favorably']"
3292654043.0,Yes,1,Han,0,No Response,0,Male,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic,"['Star Wars: Episode I  The Phantom Menace', 'Star Wars: Episode II  Attack of the Clones', 'Star Wars: Episode III  Revenge of the Sith', 'Star Wars: Episode IV  A New Hope', 'Star Wars: Episode V The Empire Strikes Back', 'Star Wars: Episode VI Return of the Jedi']","['5', '4', '6', '2', '1', '3']","['Very favorably', 'Somewhat unfavorably', 'Somewhat favorably', 'Somewhat favorably', 'Somewhat favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Very favorably', 'Neither favorably nor unfavorably (neutral)', 'Somewhat favorably', 'Very unfavorably', 'Somewhat unfavorably', 'Somewhat favorably']"
